縣市,選舉區,姓名,號次,性別,出生年月日,年齡,推薦之政黨,當選次數(1998-2018),2018當選,議員照片,政治家族,涉案紀錄,吹哨者的涉案紀錄,政治工作,其他
台北市,1,林志穎,17,男,1981-09-20T00:00:00Z,41,無,0,n,y,無,無,無,無,無
台北市,1,林延鳳,1,女,1982-04-17T00:00:00Z,40,民主進步黨,0,n,y,無,無,無,"曾任謝長廷辦公室幕僚
曾任立委莊瑞雄北區服務處執行長
曾任立委阮昭雄辦公室主任","黨內初選擊敗焦糖陳嘉行出線
屬於民進黨內湧言會新人
提出以「航運」解決士北交通問題"
台北市,1,蘇府庭,21,男,1958-12-02T00:00:00Z,64,無,0,n,y,無,無,無,曾任2屆台北市洲美里里長,"自稱在士林市場賣魚長大
台北市里長聯誼會總會長
台北市北投區洲美關渡平原促進會理事長
台北市區段徵收市地重劃委員
台北市環保局焚化爐監督委員會委員"
台北市,1,陳重文,7,男,1977-09-24T00:00:00Z,45,中國國民黨,2,y,y,無,無,無,"2018年當選議員
曾任2屆議員
中國國民黨第19屆中常委
曾任立委蔡正元助理","曾任領航基金會董事（創辦人蔡正元）
曾任臺北市青溪總會理事長 
曾任臺灣運動教育協會理事"
台北市,1,陳慈慧,9,女,1983-11-22T00:00:00Z,39,民主進步黨,2,y,y,父親是前議員陳碧峰,無,無,"2018年當選議員
曾任2屆議員
民進黨全國黨代表
曾任議員陳碧峰辦公室主任
曾任立委姚文智服務處主任","台北市棒球協會執行長
陽明山國際青年商會理事"
台北市,1,劉仕傑,8,男,1980-02-09T00:00:00Z,42,時代力量,0,n,y,無,無,無,"曾任外交部歐洲司科長
曾被派到外交部北美司、駐洛杉磯辦事處、駐帛琉大使館",駐洛杉磯台北經濟文化辦事處三等秘書
台北市,1,張渝江,16,男,1972-09-06T00:00:00Z,50,台灣民眾黨,0,n,y,無,無,無,無,"質疑中市府空污治理政策，提告中火、經濟部、中市府遭法院駁回
2020年曾代表民眾黨競選台中市第4選區立法委員
台北市土木技師公會主委"
台北市,1,張斯綱,20,男,1971-09-09T00:00:00Z,51,中國國民黨,1,y,y,無,無,無,"2018年當選議員
曾任1屆議員
曾任國民黨發言人
曾任蕭萬長幕僚
曾任國民黨中央委員、文傳會副主委
曾任衛生署簡任秘書、海基會資深高級專員",無
台北市,1,陳賢蔚,2,男,1977-07-12T00:00:00Z,45,民主進步黨,1,y,y,無,無,無,"2022年7月因同選區潘懷宗議員涉貪解職，遞補當選
立委蕭美琴議員吳思瑤聯合服務處主任
立委吳思瑤辦公室主任
台北市民進黨黨部執委","中華民國身障棒壘球協會顧問
亞洲政經與和平交流協會理事"
台北市,1,陳思宇,15,女,1986-09-04T00:00:00Z,36,台灣民眾黨,0,n,y,"祖父是國民黨第二屆國大代表陳安邦
姑姑是民進黨前立委陳靜敏
父親是陳建銘為現任無黨籍台北市議員",無,無,"立法委員邱臣遠辦公室主任
立法委員張其祿辦公室法案主任
台灣民眾黨發言人
臺北市政府副發言人
臺北市政府觀傳局長
台灣民眾黨黨代表
台灣民眾黨中央委員",2018年代表「白色力量」參加台北市第二選區立委補選落選
台北市,1,汪志冰,5,女,1957-04-20T00:00:00Z,65,中國國民黨,4,y,y,無,無,無,"2018年當選議員
曾任4屆議員
曾任國大代表","曾任中華民國全國總工會秘書長
2020擊敗潘懷宗代表藍營參選北市立委失利
歡喜做愛心公益會理事長
臺北市體育總會啦啦隊協會理事長
臺北市六桂宗親會理事長"
台北市,1,鍾佩玲,10,女,1979-03-27T00:00:00Z,43,民主進步黨,1,y,y,"公公是民進黨中評會主委陳勝宏
婆婆是3屆立委薛凌
小叔是2屆議員、民進黨立委何志偉",無,無,"2018年當選議員
曾任1屆議員
民主進步黨中央執行委員","曾任三立新聞台主播
曾任台灣綠色文化協會執行長"
台北市,1,林杏兒,4,女,1981-01-05T00:00:00Z,41,中國國民黨,0,n,y,無,無,無,"曾任國民黨中常委
曾任國民黨全國青工總會長
曾任國民黨副發言人
曾任國民黨台北市青工會總會長
曾任國民黨台北市黨部副主委","遭同黨初選對手黃子哲質疑民調造假
支持傅崑萁回黨與徐巧芯隔空互嗆
研究論文遭質疑有抄襲疑慮
曾任台北市關懷弱勢協會副理事長
台北市七星獅子會長"
台北市,1,王郁揚,19,男,1986-07-08T00:00:00Z,36,金色力量黨,0,n,y,無,無,無,曾任金色力量黨黨主席,"2020參選士林北投區立委失利
全國外送產業工會監事
聯合國世界衛生組織菸草控制框架公約無煙菸草認證反煙專家
政見包括社子島設置性專區、大麻合法化、電子菸&加熱菸合法化、機車平權、外送員權益
支持興建淡北道路
呼籲政府應「建立有效疫苗藥害救濟程序」"
台北市,1,林世宗,6,男,1959-06-13T00:00:00Z,63,民主進步黨,3,y,y,無,無,無,"2018年當選議員
曾任3屆議員
民進黨中央評委","台灣環保教育協會發起人
國立虎尾科技大學文教基金會董事
2016遭高教工會指控把持台北海洋學院人士聘任，將校園「家族化」"
台北市,1,項豪,24,男,1981-03-12T00:00:00Z,41,中國國家社會主義勞工黨,0,n,y,無,無,無,中國國家社會主義勞工黨黨主席,無
台北市,1,侯漢廷,11,男,1988-10-30T00:00:00Z,34,新黨,1,y,y,無,無,無,"2018年當選議員
曾任1屆議員
曾任新黨新思維中心主任","曾於福建東南衛視主持《遠山看海峽》節目
2018年因涉嫌違反《國安法》與新黨青年軍等5人被台北地檢署起訴，後來全部獲判無罪。"
台北市,1,黃瀞瑩,13,女,1992-06-10T00:00:00Z,30,台灣民眾黨,0,n,y,無,無,無,"民進黨立委蘇巧慧辦公室助理
臺北市政府秘書處媒體事務組組員
柯文哲競選辦公室社群及新聞輿情組
臺北市政府副發言人","曾任《ETtoday新聞雲》記者
因節目《木躍四超玩》〈一日市長幕僚〉節目爆紅，獲得「學姊」稱號
台北市政府徵才內定爭議"
台北市,1,林瑞圖,14,男,1956-06-10T00:00:00Z,66,人民最大黨,4,y,y,叔叔是前立委林文郎,"違法施壓銀行超貸，依偽造文書罪判5個月[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM,91%2c%e4%b8%8a%e8%a8%b4%2c464%2c20030715%2c1]","以不實文件向銀行申請貸款、涉嫌施壓銀行超貸，最後因犯偽造文書罪遭判刑5月確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM,91%2c%e4%b8%8a%e8%a8%b4%2c464%2c20030715%2c1]","2018年當選議員
曾任4屆議員
曾任立法委員
人民最大黨創黨黨員兼副主席",曾任磺田福佑宮主委、集應廟主委、地藏禪寺執行長、慈悟寺執行長
台北市,1,楊靜宇,23,男,1961-10-02T00:00:00Z,61,無,1,y,y,無,無,無,"2018年當選議員
曾任1屆議員","曾任動物醫院院長
曾任台北市獸醫師公會理事長
曾是News98電台主持人"
台北市,1,鄭穎隆,18,男,1973-08-26T00:00:00Z,49,共和黨,0,n,n,無,無,無,前台灣機車黨黨主席,無
台北市,1,李光輝,3,男,1962-11-10T00:00:00Z,60,無,0,n,y,無,"2011年成立光輝生醫公司要求員工販售自家未上市股票，對外宣稱獲得癌症免疫治療專利等吸金1億多元，遭檢舉後，被檢方依違反《證交法》證券詐欺等罪起訴，一審遭判10年，上訴中。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,106%2c%e9%87%91%e9%87%8d%e8%a8%b4%2c13%2c20220127%2c1]","2011年成立光輝生醫公司；2012年正式營運，2013年起要求員工販售自家未上市股票，以對外宣稱公司經營免疫細胞體儲存、培養自體免疫細胞獲得專利等話術，吸引百人以每股30到60元不等價格購買公司未上市股票，吸金1億多元，李光輝遭檢舉後，2017年被檢方依違反《證交法》證券詐欺等罪起訴，一審遭判10年，上訴中。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,106%2c%e9%87%91%e9%87%8d%e8%a8%b4%2c13%2c20220127%2c1]",無,"精神科名醫，2011年成立光輝生醫公司，推廣癌症免疫療法，聲稱取得專利因而捲入詐騙、洗錢等爭議
立場支持陳時中、高端疫苗
因司法改革牛步而投入選戰
提出年輕人月入十萬、政府給公宅等政見"
台北市,1,陳政忠,25,男,1955-04-01T00:00:00Z,67,無,6,y,y,女兒是2屆親民黨不分區立委陳怡潔,1993年起違反《證券交易法》操控股票涉嫌掏空公司，更四審審理中。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPSM%2c108%2c%e5%8f%b0%e4%b8%8a%2c2551%2c20200819%2c1&ot=in],1993年起操控股票，涉嫌掏空公司，一審遭判20年、二審判9年、更一審及更二審遭判5年，更三審改判無罪，案件審理19年，更四審尚在審理中。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPSM%2c108%2c%e5%8f%b0%e4%b8%8a%2c2551%2c20200819%2c1&ot=in],"2018年當選議員
曾任6屆議員
曾任國民黨中央委員","曾創立宏福建設
「台北監督連線」成員之一
財團法人台北市陳安文教基金會 董事長
祖父為幸福集團創辦人陳兩傳，母親為林榮三姊姊林盡"
台北市,1,黃郁芬,22,女,1990-03-17T00:00:00Z,32,時代力量,1,y,y,無,無,無,"2018年當選議員
曾任1屆議員
曾任不當黨產處理委員會助理研究員
曾任立委顧立雄助理
曾任立委林昶佐助理",曾任318太陽花運動發言人
