年份,類別,分類,縣市,名字,政黨名稱,性別,參選年齡,現任,當選註記,得票數,得票率,當選人數合計
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳鴻源,中國國民黨,1,57,Y,NA,469,5.57,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,黃盛一,無,1,67,N,NA,210,2.49,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,游國良,民主進步黨,1,31,N,*,1453,17.25,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,郭燈和,中國國民黨,1,53,N,*,1997,23.71,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳美玲,中國國民黨,2,45,Y,!,331,3.93,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林葆淵,無,1,41,N,NA,415,4.93,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,莊秋亮,無,1,60,N,*,1454,17.26,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林漢傑,中國國民黨,1,37,N,NA,954,11.33,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張榮輝,無,1,51,N,*,1139,13.52,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林飛身,中國國民黨,1,45,Y,*,2144,29,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳永錰,無,1,64,Y,NA,386,5.22,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,吳建基,無,1,48,N,*,1633,22.09,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,余溪明,中國國民黨,1,53,Y,*,2047,27.69,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,莊阿養,無,1,62,N,NA,1182,15.99,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,潘進炫,中國國民黨,1,68,Y,*,1306,12.01,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,鄭吳阿霞,無,2,52,N,NA,1145,10.53,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,李詠蘭,無,2,37,N,NA,980,9.01,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林志鴻,民主進步黨,1,33,N,*,1911,17.58,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,呂金宏,中國國民黨,1,62,N,*,1507,13.86,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,王阿水,無,1,64,Y,*,1210,11.13,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,李孟潔,無,2,47,Y,*,2171,19.97,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,唐璟誼,中國國民黨,1,48,Y,NA,643,5.91,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林智勇,無,1,36,Y,*,2659,41.12,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳明鍾,無,1,58,N,*,1405,21.73,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,游徹夫,無,1,67,Y,NA,1104,17.07,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,何光榮,無,1,66,Y,*,1299,20.09,16
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,李錫欽,無,1,60,Y,NA,1145,31.09,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,黃泰坤,中國國民黨,1,61,N,*,1196,32.47,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,游清亮,無,1,55,N,*,1342,36.44,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林雪霞,無,2,57,Y,NA,1341,31.85,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,何建東,無,1,41,N,*,1406,33.4,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,游德全,無,1,70,N,*,1463,34.75,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,賴秀鑾,民主進步黨,2,54,Y,NA,864,11.61,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,莊漢源,中國國民黨,1,44,N,NA,807,10.84,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,謝家倫,無,1,25,N,NA,724,9.72,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張榮華,無,1,58,N,*,1123,15.08,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳順益,中國國民黨,1,44,Y,*,1179,15.84,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳司衡,民主進步黨,1,44,Y,*,1088,14.61,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,吳文欽,無,1,41,N,NA,453,6.08,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林擁璿,無,2,35,N,*,956,12.84,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張明芬,無,2,42,N,NA,251,3.37,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,黃玉琴,中國國民黨,2,57,Y,NA,660,8.88,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林美滿,無,2,53,Y,*,880,11.84,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,李錫参,無,1,57,Y,NA,694,9.34,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,楊振益,中國國民黨,1,56,N,*,905,12.18,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,黃呈浦,無,1,78,N,NA,199,2.68,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,黃德勝,中國國民黨,1,55,N,NA,754,10.15,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,劉承賓,中國國民黨,1,42,N,*,1155,15.55,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳旺全,無,1,75,Y,*,839,11.29,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,許俊仁,民主進步黨,1,33,N,*,1344,18.09,13
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,吳慶賢,無,1,44,N,*,766,49.04,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張竣喨,無,1,58,N,NA,221,14.15,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,游天藤,中國國民黨,1,64,Y,NA,575,36.81,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,洪秀璪,中國國民黨,2,60,N,*,1603,34.5,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,邱嘉進,民主進步黨,1,33,Y,NA,1391,29.94,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,曾太山,中國國民黨,1,51,N,*,1652,35.56,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,歐進義,民主進步黨,1,49,Y,*,1486,20.98,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張正義,中國國民黨,1,67,Y,*,1355,19.13,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,高瓊玲,無,2,48,Y,*,1422,20.08,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林文雄,無,1,52,N,NA,564,7.96,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,黃榮祿,中國國民黨,1,54,N,NA,1063,15.01,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張美皇,無,2,60,Y,*,1193,16.84,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林崇賢,中國國民黨,1,59,Y,*,1684,18.49,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,吳淑貞,無,2,41,N,NA,770,8.46,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳映蓉,無,2,39,Y,*,1453,15.95,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,王明輝,民主進步黨,1,54,Y,*,1628,17.88,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳志明,民主進步黨,1,54,N,*,1257,13.8,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林正標,中國國民黨,1,64,Y,NA,1126,12.36,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林森豪,無,1,50,N,NA,1189,13.06,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林樂賜,中國國民黨,1,60,Y,*,1175,19.84,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,楊碧村,中國國民黨,1,52,N,NA,905,15.28,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林錦梅,無,2,55,Y,*,922,15.57,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林坤樹,無,1,51,Y,*,1156,19.52,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林東成,無,1,47,N,*,943,15.92,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林張秀娥,中國國民黨,2,55,Y,NA,822,13.88,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,柳萬順,中國國民黨,1,55,Y,*,1265,26.22,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,曾錫章,無,1,45,N,NA,976,20.23,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,魏宗太,無,1,68,Y,*,1443,29.91,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,蔡財丁,無,1,54,Y,*,1140,23.63,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張永興,無,1,40,N,NA,207,5.56,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林明周,無,1,48,N,NA,254,6.83,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林金龍,無,1,60,Y,*,1055,28.35,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,薛文進,中國國民黨,1,56,N,NA,980,26.34,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,賴良洲,中國國民黨,1,47,N,*,1225,32.92,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,陳石生,中國國民黨,1,62,Y,*,1343,40.22,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,黃振燦,無,1,72,Y,NA,934,27.97,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,尤瑞傑,無,1,37,N,*,1062,31.81,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張永德,中國國民黨,1,52,Y,*,1390,21.49,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,李進鏗,無,1,48,N,NA,618,9.56,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林金朝,中國國民黨,1,74,N,*,1188,18.37,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,吳朝煌,無,1,71,Y,*,1094,16.92,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,阮雪芳,中國國民黨,2,49,Y,*,1430,22.11,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,王熏,民主進步黨,2,55,N,NA,747,11.55,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,李三鋒,無,1,58,Y,NA,980,30.31,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林森枝,無,1,48,Y,*,1107,34.24,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,賴木樹,中國國民黨,1,72,N,*,1146,35.45,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,游印壽,民主進步黨,1,58,N,*,1528,38.88,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,簡阿忠,中國國民黨,1,52,Y,*,1269,32.29,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,游見璋,中國國民黨,1,43,Y,NA,1133,28.83,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,吳秋玟,民主進步黨,2,37,N,*,1371,24.02,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張景程,無,1,41,N,NA,1217,21.32,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,李朝棟,民主進步黨,1,61,Y,*,1257,22.03,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,莊漢銘,中國國民黨,1,41,Y,*,1862,32.63,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,王明,中國國民黨,1,60,Y,*,1154,34.61,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,黃金海,無,1,56,N,*,1036,31.07,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,張錫鏞,無,1,65,Y,*,1144,34.31,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,周宗賢,無,1,30,N,NA,423,12.09,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林萬固,中國國民黨,1,52,Y,*,992,28.34,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林立賢,無,1,55,Y,*,1015,29,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林榮華,無,1,58,N,*,1070,30.57,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,曾松柏,民主進步黨,1,53,N,NA,604,24.3,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,游正欽,無,1,57,N,*,911,36.65,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林進凱,無,1,43,Y,*,971,39.06,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,林听洲,無,1,57,N,*,999,22.35,11
2010 -鄉鎮市民代表,非直轄市,市民代表-區域,宜蘭縣,江立偉,無,1,55,N,NA,78,1.75,11
