年份,類別,分類,縣市,名字,政黨名稱,性別,參選年齡,現任,當選註記,得票數,得票率,當選人數合計
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,林鴻池,中國國民黨,1,47,Y,*,101057,67.78,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,黃春夏,民主進步黨,1,48,N,NA,48044,32.22,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,李余典,無,1,45,N,NA,35690,29.77,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,李乾龍,中國國民黨,1,53,N,*,42620,35.55,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,李世東,無,1,46,N,NA,6721,5.61,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,吳遷,民主進步黨,1,54,N,NA,34844,29.07,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,劉梅花,新黨,2,43,N,NA,27778,24.34,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,呂芳煙,中國國民黨,1,65,Y,*,86354,75.66,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,劉君驥,親民黨,1,48,N,NA,21853,35.58,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,孫立權,民主進步黨,1,45,N,NA,10861,17.68,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,洪一平,中國國民黨,1,56,N,*,28710,46.74,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,陳宗得,無,1,48,N,NA,6282,5.96,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,鍾宏仁,民主進步黨,1,45,N,NA,43133,40.89,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,黃林玲玲,中國國民黨,2,59,Y,*,56071,53.15,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,顏固傳,親民黨,1,54,N,NA,14781,19.5,1
2002 -鄉鎮市長,非直轄市,鄉鎮市長,臺北縣,曾正和,中國國民黨,1,62,Y,*,46603,61.47,1
