年份,選舉類別,分區編號,縣市,號次,名字,政黨名稱,性別,出生日期,現任,得票數,得票率,當選註記,有效票,無效票,投票數,選舉人數,投票數對選舉人數
2002,非直轄市,01001,臺北縣,,王建煊,新黨,,027,N,,,NA,,,,,
2002,非直轄市,01001,臺北縣,,邵建興,無,,048,N,,,NA,,,,,
2002,非直轄市,01001,臺北縣,,石翊靖,無,,039,N,,,NA,,,,,
2002,非直轄市,01001,臺北縣,,蘇貞昌,民主進步黨,,036,Y,,,*,,,,,
2002,非直轄市,01002,宜蘭縣,,朱振東,無,,042,N,,,NA,,,,,
2002,非直轄市,01002,宜蘭縣,,劉守成,民主進步黨,,040,Y,,,*,,,,,
2002,非直轄市,01002,宜蘭縣,,林錦坤,無,,053,N,,,NA,,,,,
2002,非直轄市,01002,宜蘭縣,,呂國華,中國國民黨,,045,N,,,NA,,,,,
2002,非直轄市,01003,桃園縣,,彭紹瑾,民主進步黨,,046,N,,,NA,,,,,
2002,非直轄市,01003,桃園縣,,朱立倫,中國國民黨,,050,N,,,*,,,,,
2002,非直轄市,01003,桃園縣,,莊志忠,無,,023,N,,,NA,,,,,
2002,非直轄市,01004,新竹縣,,林光華,民主進步黨,,034,Y,,,NA,,,,,
2002,非直轄市,01004,新竹縣,,鄭永金,中國國民黨,,038,N,,,*,,,,,
2002,非直轄市,01005,苗栗縣,,魏早炳,民主進步黨,,030,N,,,NA,,,,,
2002,非直轄市,01005,苗栗縣,,傅學鵬,無,,040,Y,,,*,,,,,
2002,非直轄市,01005,苗栗縣,,李佳穆,無,,039,N,,,NA,,,,,
2002,非直轄市,01005,苗栗縣,,徐享崑,中國國民黨,,042,N,,,NA,,,,,
2002,非直轄市,01006,臺中縣,,林敏霖,無,,038,N,,,NA,,,,,
2002,非直轄市,01006,臺中縣,,黃仲生,中國國民黨,,031,N,,,*,,,,,
2002,非直轄市,01006,臺中縣,,廖永來,民主進步黨,,045,Y,,,NA,,,,,
2002,非直轄市,01007,彰化縣,,鄭秀珠,親民黨,,059,N,,,NA,,,,,
2002,非直轄市,01007,彰化縣,,葉金鳳,中國國民黨,,032,N,,,NA,,,,,
2002,非直轄市,01007,彰化縣,,翁金珠,民主進步黨,,036,N,,,*,,,,,
2002,非直轄市,01007,彰化縣,,洪參民,無,,035,N,,,NA,,,,,
2002,非直轄市,01007,彰化縣,,陳婉貞,無,,039,N,,,NA,,,,,
2002,非直轄市,01008,南投縣,,姜君佩,無,,044,N,,,NA,,,,,
2002,非直轄市,01008,南投縣,,張明雄,中國國民黨,,033,N,,,NA,,,,,
2002,非直轄市,01008,南投縣,,陳胘富,無,,049,N,,,NA,,,,,
2002,非直轄市,01008,南投縣,,林宗男,民主進步黨,,031,N,,,*,,,,,
2002,非直轄市,01008,南投縣,,林明溱,中國國民黨,,040,N,,,NA,,,,,
2002,非直轄市,01008,南投縣,,陳振盛,親民黨,,039,N,,,NA,,,,,
2002,非直轄市,01008,南投縣,,彭百顯,無,,038,Y,,,NA,,,,,
2002,非直轄市,01009,雲林縣,,張榮味,中國國民黨,,046,Y,,,*,,,,,
2002,非直轄市,01009,雲林縣,,林樹山,民主進步黨,,047,N,,,NA,,,,,
2002,非直轄市,01010,嘉義縣,,陳勝三,無,,029,N,,,NA,,,,,
2002,非直轄市,01010,嘉義縣,,陳明文,民主進步黨,,043,N,,,*,,,,,
2002,非直轄市,01010,嘉義縣,,李明憲,無,,048,N,,,NA,,,,,
2002,非直轄市,01010,嘉義縣,,蔡炳欽,無,,042,N,,,NA,,,,,
2002,非直轄市,01010,嘉義縣,,翁重鈞,中國國民黨,,044,N,,,NA,,,,,
2002,非直轄市,01011,臺南縣,,吳清基,中國國民黨,,040,N,,,NA,,,,,
2002,非直轄市,01011,臺南縣,,蘇煥智,民主進步黨,,045,N,,,*,,,,,
2002,非直轄市,01011,臺南縣,,魏耀乾,無,,039,N,,,NA,,,,,
2002,非直轄市,01012,高雄縣,,黃八野,無,,032,N,,,NA,,,,,
2002,非直轄市,01012,高雄縣,,楊秋興,民主進步黨,,045,N,,,*,,,,,
2002,非直轄市,01012,高雄縣,,吳光訓,中國國民黨,,039,N,,,NA,,,,,
2002,非直轄市,01013,屏東縣,,李景雯,無,,017,N,,,NA,,,,,
2002,非直轄市,01013,屏東縣,,王進士,中國國民黨,,037,N,,,NA,,,,,
2002,非直轄市,01013,屏東縣,,蘇嘉全,民主進步黨,,045,Y,,,*,,,,,
2002,非直轄市,01014,臺東縣,,彭權國,無,,052,N,,,NA,,,,,
2002,非直轄市,01014,臺東縣,,徐慶元,親民黨,,046,N,,,*,,,,,
2002,非直轄市,01014,臺東縣,,吳俊立,中國國民黨,,051,N,,,NA,,,,,
2002,非直轄市,01014,臺東縣,,賴坤成,民主進步黨,,053,N,,,NA,,,,,
2002,非直轄市,01015,花蓮縣,,游盈隆,民主進步黨,,045,N,,,NA,,,,,
2002,非直轄市,01015,花蓮縣,,賴政雄,親民黨,,032,N,,,NA,,,,,
2002,非直轄市,01015,花蓮縣,,莊三修,無,,046,N,,,NA,,,,,
2002,非直轄市,01015,花蓮縣,,齊淑英,綠黨,,039,N,,,NA,,,,,
2002,非直轄市,01015,花蓮縣,,張福興,中國國民黨,,031,N,,,*,,,,,
2002,非直轄市,01016,澎湖縣,,賴峰偉,中國國民黨,,042,N,,,*,,,,,
2002,非直轄市,01016,澎湖縣,,陳光復,民主進步黨,,044,N,,,NA,,,,,
2002,非直轄市,01016,澎湖縣,,許麗音,無,,037,N,,,NA,,,,,
2002,非直轄市,01017,基隆市,,許財利,中國國民黨,,036,N,,,*,,,,,
2002,非直轄市,01017,基隆市,,李進勇,民主進步黨,,040,Y,,,NA,,,,,
2002,非直轄市,01018,新竹市,,蔡仁堅,民主進步黨,,041,N,,,NA,,,,,
2002,非直轄市,01018,新竹市,,王少泉,無,,031,N,,,NA,,,,,
2002,非直轄市,01018,新竹市,,林政則,中國國民黨,,033,N,,,*,,,,,
2002,非直轄市,01018,新竹市,,黃中媄,無,,040,N,,,NA,,,,,
