NAME_LONG,SOVEREIGNT,group,Age,comments
Afghanistan,Afghanistan,d,,NA
Angola,Angola,d,,NA
Albania,Albania,d,,NA
United Arab Emirates,United Arab Emirates,h,,NA
Argentina,Argentina,b,,NA
Armenia,Armenia,d,,NA
Antarctica,Antarctica,j,,NA
French Southern and Antarctic Lands,France,j,,NA
Australia,Australia,d,,NA
Austria,Austria,b,,NA
Azerbaijan,Azerbaijan,d,,NA
Burundi,Burundi,d,,NA
Belgium,Belgium,d,,NA
Benin,Benin,d,,NA
Burkina Faso,Burkina Faso,d,,NA
Bangladesh,Bangladesh,d,,NA
Bulgaria,Bulgaria,d,,NA
Bahamas,The Bahamas,d,,NA
Bosnia and Herzegovina,Bosnia and Herzegovina,d,,NA
Belarus,Belarus,d,,NA
Belize,Belize,d,,NA
Bolivia,Bolivia,d,,NA
Brazil,Brazil,b,,NA
Brunei Darussalam,Brunei,i,,NA
Bhutan,Bhutan,d,,NA
Botswana,Botswana,d,,NA
Central African Republic,Central African Republic,d,,NA
Canada,Canada,d,,NA
Switzerland,Switzerland,d,,NA
Chile,Chile,d,,NA
China,China,d,,NA
Côte d'Ivoire,Ivory Coast,d,,NA
Cameroon,Cameroon,f,,NA
Democratic Republic of the Congo,Democratic Republic of the Congo,d,,NA
Republic of the Congo,Republic of the Congo,d,,NA
Colombia,Colombia,d,,NA
Costa Rica,Costa Rica,d,,NA
Cuba,Cuba,b,,NA
Northern Cyprus,Northern Cyprus,d,,NA
Cyprus,Cyprus,d,,NA
Czech Republic,Czechia,d,,NA
Germany,Germany,d,,NA
Djibouti,Djibouti,d,,NA
Denmark,Denmark,d,,NA
Dominican Republic,Dominican Republic,d,,NA
Algeria,Algeria,d,,NA
Ecuador,Ecuador,b,,NA
Egypt,Egypt,d,,NA
Eritrea,Eritrea,d,,NA
Spain,Spain,d,,NA
Estonia,Estonia,d,,NA
Ethiopia,Ethiopia,d,,NA
Finland,Finland,d,,NA
Fiji,Fiji,d,,NA
Falkland Islands,United Kingdom,d,,NA
France,France,d,,NA
Gabon,Gabon,d,,NA
United Kingdom,United Kingdom,d,,NA
Georgia,Georgia,d,,NA
Ghana,Ghana,d,,NA
Guinea,Guinea,d,,NA
The Gambia,Gambia,d,,NA
